"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"36","365.70535666930215","332.796978452396","4.812305607345282","-0.31175120998201256","0.2392578125","0.4208984375","0.0576171875","1300","0.00010581042155886075","0","0.00010581042155886075","0.00010581042155886075","36_51:0.004611334287803859","36_51:660","true"
"37","164.8799753194794","112.42979786222051","4.837891138392249","-0.30886995110205334","0.253662109375","0.28466796875","0.22265625","1300","0.00015486030423637805","0","0.00015486030423637805","0.00015486030423637805","37_38:0.011672988781888827","37_38:660","true"
"38","62.738602119591306","66.34963775010226","4.776670060187193","-0.31016511917022377","0.315185546875","0.15478515625","0.4755859375","1300","0.0003827956587173373","0","0.0003827956587173373","0.0003827956587173373","","","true"
"39","240.61135748220678","136.60843869986712","4.917332332450121","-0.30824769981735706","0.31494140625","0.17138671875","0.45849609375","1300","0.00021316129730387798","0","0.00021316129730387798","0.00021316129730387798","39_38:0.012881721385535116","39_38:660","true"
"40","197.2720047408692","31.830186168778194","4.868227697092371","-0.30859152479413265","0.23046875","0.1337890625","0.3271484375","1300","0.0003988545951333187","0","0.0003988545951333187","0.0003988545951333187","40_41:0.0057499486174062975;40_39:0.0075905121185881885","40_41:660;40_39:660","true"
"41","258.41177358754567","286.39269781752535","4.935532678938938","-0.30862641143413133","0.38525390625","0.02880859375","0.74169921875","1300","0.0001613223476244171","0","0.0001613223476244171","0.0001613223476244171","41_53:0.0041699961581068146","41_53:660","true"
"42","285.8210657641116","173.988473649597","5.063940462860874","-0.3066601274184393","0.224365234375","0.2783203125","0.17041015625","1300","0.0001799355390710759","0","0.0001799355390710759","0.0001799355390710759","42_41:0.005469736705950912;42_43:0.00587548533267751","42_41:660;42_43:660","true"
"43","296.14127296227116","181.65374520334666","4.829563516825262","-0.3101290706249939","0.277587890625","0.400390625","0.15478515625","1300","0.00010912790446898848","0","0.00010912790446898848","0.00010912790446898848","43_44:0.009010473280392284","43_44:660","true"
"44","259.53566230434643","18.90448209683052","4.949160615829509","-0.3085061819189273","0.385498046875","0.02978515625","0.7412109375","1300","0.0003446775300066613","0","0.0003446775300066613","0.0003446775300066613","44_45:0.0070145609107299944","44_45:660","true"
"45","102.98731307735318","22.185769520600008","4.99949662185221","-0.35905492913025383","0.41650390625","0.7734375","0.0595703125","1300","0.000414771855982","0","0.000414771855982","0.000414771855982","","","true"
"46","259.4855788129871","199.90824186028425","4.853137301359764","-0.3093752065131216","0.3212890625","0.298828125","0.34375","1300","0.00022030176014171666","0","0.00022030176014171666","0.00022030176014171666","46_45:0.02105001077257962;46_47:0.005733276638827944","46_45:660;46_47:660","true"
"47","183.5799844383091","166.9900220978535","4.769543835817661","-0.3109329882546267","0.314208984375","0.06298828125","0.5654296875","1300","0.00019648868705815197","0","0.00019648868705815197","0.00019648868705815197","","","true"
"48","187.4305669864923","78.32156121187134","4.844173541309018","-0.3101551740988557","0.274169921875","0.0791015625","0.46923828125","1300","0.000300398503015008","0","0.000300398503015008","0.000300398503015008","48_47:0.00688097424855455;48_49:0.010849003887952346","48_47:660;48_49:660","true"
"49","252.58788102370627","61.84571646382248","4.697331130095594","-0.312183453636997","0.249755859375","0.33251953125","0.1669921875","1300","0.0002951376546788845","0","0.0002951376546788845","0.0002951376546788845","","","true"
"50","351.69855312292947","44.145938454789395","4.784040803435498","-0.31049210238863767","0.346435546875","0.0263671875","0.66650390625","1300","0.0003751554485621152","0","0.0003751554485621152","0.0003751554485621152","50_49:0.01258585042130489;50_51:0.010319844417477742","50_49:660;50_51:660","true"
"51","352.2986082948745","427.7017923979921","4.9311711903855935","-0.3079514036835037","0.3505859375","0.15478515625","0.54638671875","1300","0.0001631961387991997","0","0.0001631961387991997","0.0001631961387991997","","","true"
"52","242.3050374565585","221.62521963191054","4.915264484504412","-0.30801090653647334","0.2509765625","0.3466796875","0.1552734375","1300","0.00015074448407077705","0","0.00015074448407077705","0.00015074448407077705","52_37:0.006681334883173351;52_56:0.004675737835028004","52_37:660;52_56:660","true"
"53","277.92427697675714","246.96744380283764","4.99664962014051","-0.30683792833129964","0.21728515625","0.18212890625","0.25244140625","1300","0.0001459565958027835","0","0.0001459565958027835","0.0001459565958027835","53_60:0.01483331584596681","53_60:660","true"
"54","179.0278013840165","116.15836309106008","4.96956363940427","-0.3069935236147513","0.238037109375","0.24560546875","0.23046875","1300","0.00029348213983977856","0","0.00029348213983977856","0.00029348213983977856","54_64:0.008779467857360834;54_45:0.014264771416099109","54_64:660;54_45:660","true"
"55","309.7233513665834","132.2299780722065","4.837202970811737","-0.31038048092010345","0.45361328125","0.01025390625","0.89697265625","1300","0.0001936837862696074","0","0.0001936837862696074","0.0001936837862696074","55_68:0.004824637363152029;55_49:0.008314639251606748","55_68:660;55_49:660","true"
"56","338.4255263429401","173.37678570369002","4.814524642823523","-0.30974571553277236","0.283935546875","0.27197265625","0.2958984375","1300","0.00013914331704788802","0","0.00013914331704788802","0.00013914331704788802","56_57:0.004457187726413403","56_57:660","true"
"57","242.7686229003497","165.09768150106999","4.927642591277217","-0.30778611849622645","0.356201171875","0.1171875","0.59521484375","1300","0.0001588453935818682","0","0.0001588453935818682","0.0001588453935818682","57_58:0.004089274668776788","57_58:660","true"
"58","323.62445137200706","226.53409428950377","4.886985698393314","-0.30930018015034827","0.3388671875","0.61376953125","0.06396484375","1300","0.00013740804239300222","0","0.00013740804239300222","0.00013740804239300222","58_71:0.003793505876671155;58_59:0.004362509964770167","58_71:660;58_59:660","true"
"59","194.6546719435723","33.90688172280328","4.971232105346941","-0.30762691104199297","0.1640625","0.0888671875","0.2392578125","1300","0.00017952968176358642","0","0.00017952968176358642","0.00017952968176358642","59_60:0.013523855286671826","59_60:660","true"
"60","57.384204880258814","76.23807115620306","4.766260595415728","-0.31054248475500074","0.202880859375","0.06689453125","0.3388671875","1300","0.0011108317360208385","0","0.0011108317360208385","0.0011108317360208385","60_61:0.03249254079969344","60_61:660","true"
"61","274.16730744563193","147.01993633595538","4.793801426575835","-0.29056402780855567","0.310302734375","0.26953125","0.35107421875","1300","0.0005899469638502866","0","0.0005899469638502866","0.0005899469638502866","","","true"
"62","170.85598992853306","135.44542039864263","4.935221189170697","-0.3079921198487331","0.3583984375","0.076171875","0.640625","1300","0.00023925755353888873","0","0.00023925755353888873","0.00023925755353888873","62_72:0.00815670672187635;62_61:0.007097393735711721;62_63:0.013449417667278585","62_72:660;62_61:660;62_63:660","true"
"63","247.16215903801034","182.12866004414263","5.041625146924514","-0.30694631371315323","0.272216796875","0.212890625","0.33154296875","1300","0.0004689498635546181","0","0.0004689498635546181","0.0004689498635546181","63_64:0.009436058885353316","63_64:660","true"
"64","183.83120510299017","150.45278440070277","4.821568122714465","-0.30967161679000116","0.224853515625","0.17236328125","0.27734375","1300","0.00024544740146383926","0","0.00024544740146383926","0.00024544740146383926","","","true"
